更新时间: 2025-12-23 11:46:34（北京时间）

更新时间,#genre#
2025-12-23 11:46:34,https://gitee.com/goldenwuhan/tv/raw/master/3D.mp4

央视频道,#genre#
湖南卫视,http://116.233.63.135:5555/udp/239.45.3.228:5140$上海市电信
湖南卫视,http://117.88.187.92:8888/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://106.87.49.107:8888/rtp/235.254.198.62:1524$重庆市电信
湖南卫视,http://112.254.55.106:22222/udp/239.253.254.82:8000$山东联通
湖南卫视,http://122.234.155.78:55555/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://122.234.155.78:55555/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://122.234.155.78:55555/rtp/233.50.202.106:5140$浙江电信
湖南卫视,http://113.25.107.189:10000/rtp/239.1.1.28:8028$山西电信
浙江卫视,http://125.80.158.137:7788/rtp/235.254.198.63:1528$重庆市电信
浙江卫视,http://61.159.134.134:18000/rtp/238.255.2.100:5999$贵州电信
浙江卫视,http://121.56.186.21:4022/rtp/239.29.0.96:5000$内蒙古电信
浙江卫视,http://113.120.108.164:4000/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://123.155.19.237:8888/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://123.155.19.237:8888/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://123.155.19.237:8888/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://123.155.19.237:8888/rtp/233.50.202.104:5140$浙江电信
浙江卫视,http://116.233.63.135:5555/udp/239.45.3.178:5140$上海市电信
浙江卫视,http://117.88.187.92:8888/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://106.87.49.107:8888/rtp/235.254.198.63:1528$重庆市电信
浙江卫视,http://112.254.55.106:22222/udp/239.253.254.84:8000$山东联通
浙江卫视,http://122.234.155.78:55555/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://122.234.155.78:55555/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://122.234.155.78:55555/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://122.234.155.78:55555/rtp/233.50.202.104:5140$浙江电信
浙江卫视,http://113.25.107.189:10000/rtp/239.1.1.38:8038$山西电信
江苏卫视,http://125.80.158.137:7788/rtp/235.254.198.64:1532$重庆市电信
江苏卫视,http://61.159.134.134:18000/rtp/238.255.2.104:5999$贵州电信
江苏卫视,http://121.56.186.21:4022/rtp/239.29.0.102:5000$内蒙古电信
江苏卫视,http://113.120.108.164:4000/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://123.155.19.237:8888/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://123.155.19.237:8888/rtp/233.50.200.144:5140$浙江电信
江苏卫视,http://116.233.63.135:5555/udp/239.45.3.177:5140$上海市电信
江苏卫视,http://117.88.187.92:8888/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://106.87.49.107:8888/rtp/235.254.198.64:1532$重庆市电信
江苏卫视,http://112.254.55.106:22222/udp/239.253.254.83:8000$山东联通
江苏卫视,http://122.234.155.78:55555/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://122.234.155.78:55555/rtp/233.50.200.144:5140$浙江电信
江苏卫视,http://113.25.107.189:10000/rtp/239.1.1.35:8035$山西电信
东方卫视,http://125.80.158.137:7788/rtp/235.254.198.73:1568$重庆市电信
东方卫视,http://61.159.134.134:18000/rtp/238.255.2.98:5999$贵州电信
东方卫视,http://121.56.186.21:4022/rtp/239.29.0.97:5000$内蒙古电信
东方卫视,http://113.120.108.164:4000/rtp/239.21.1.111:5002$山东电信
东方卫视,http://123.155.19.237:8888/rtp/233.50.201.125:5140$浙江电信
东方卫视,http://123.155.19.237:8888/rtp/233.50.200.146:5140$浙江电信
东方卫视,http://123.155.19.237:8888/rtp/233.50.202.105:5140$浙江电信
东方卫视,http://116.233.63.135:5555/udp/239.45.3.146:5140$上海市电信
东方卫视,http://117.88.187.92:8888/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://106.87.49.107:8888/rtp/235.254.198.73:1568$重庆市电信
东方卫视,http://112.254.55.106:22222/udp/239.253.254.86:8000$山东联通
东方卫视,http://122.234.155.78:55555/rtp/233.50.201.125:5140$浙江电信
东方卫视,http://122.234.155.78:55555/rtp/233.50.200.146:5140$浙江电信
东方卫视,http://122.234.155.78:55555/rtp/233.50.202.105:5140$浙江电信
深圳卫视,http://125.80.158.137:7788/rtp/235.254.198.71:1560$重庆市电信
深圳卫视,http://61.159.134.134:18000/rtp/238.255.2.61:5999$贵州电信
深圳卫视,http://121.56.186.21:4022/rtp/239.29.0.105:5000$内蒙古电信
深圳卫视,http://113.120.108.164:4000/rtp/239.21.1.93:5002$山东电信
深圳卫视,http://123.155.19.237:8888/rtp/233.50.201.101:5140$浙江电信
深圳卫视,http://123.155.19.237:8888/rtp/233.50.200.188:5140$浙江电信
深圳卫视,http://123.155.19.237:8888/rtp/233.50.202.102:5140$浙江电信
深圳卫视,http://116.233.63.135:5555/udp/239.45.3.231:5140$上海市电信
深圳卫视,http://117.88.187.92:8888/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://106.87.49.107:8888/rtp/235.254.198.71:1560$重庆市电信
深圳卫视,http://112.254.55.106:22222/udp/239.253.254.91:8000$山东联通
